City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,forio,40.7342,13.8646,287.88,82,32,0.45,IT,1712093380
177,mumbai,19.0144,72.8479,300.14,78,87,2.06,IN,1712092800
178,chonchi,-42.6128,-73.8092,282.34,90,93,3.63,CL,1712093381
179,neryungri,56.6709,124.6491,267.67,92,100,4.72,RU,1712093382
180,san luis,-33.295,-66.3356,298.24,42,44,6.54,AR,1712093184
181,ta`u,-14.2336,-169.5144,302.35,79,100,8.38,AS,1712093383
182,esqueda,30.7167,-109.5833,288.32,34,12,4.56,MX,1712093383
183,san antonio de pale,-1.4014,5.6325,301.94,74,66,1.93,GQ,1712093384
184,belyayevka,51.3974,56.4096,278.52,84,97,0.59,RU,1712093384
185,princeville,45.7668,-61.2985,276.78,86,100,4.12,CA,1712093384
186,tayshet,55.9342,98.0044,270.42,96,100,1.41,RU,1712093385
187,port saint john's,-31.6229,29.5448,295.0,79,100,3.5,ZA,1712093386
188,papao,-17.75,-149.55,302.97,76,37,9.26,PF,1712093386
189,magadan,59.5667,150.8,262.8,70,1,3.08,RU,1712093386
190,ginir,7.1333,40.7,289.47,87,96,1.9,ET,1712093387
191,port lincoln,-34.7333,135.8667,287.9,78,97,2.72,AU,1712093387
192,podgornoye,51.735,39.1496,291.27,32,0,8.0,RU,1712093388
193,wingham,43.8879,-81.3114,280.69,88,100,11.48,CA,1712093388
194,mahina,-17.5065,-149.489,303.02,66,20,3.6,PF,1712093389
195,saipan,15.1355,145.701,300.54,1,75,4.63,MP,1712093389
196,soligalich,59.0778,42.2864,281.86,99,100,3.57,RU,1712093389
197,chinchilla,-26.75,150.6333,296.49,85,6,0.89,AU,1712093390
198,la ronge,55.1001,-105.2842,282.29,31,75,4.63,CA,1712093390
199,minas de marcona,-15.2119,-75.1103,293.94,64,79,5.21,PE,1712093391
200,enewetak,11.3474,162.3373,299.89,82,100,10.01,MH,1712093391
201,yuzhno-kurilsk,44.0306,145.8556,271.14,88,7,1.67,RU,1712093392
202,usinsk,65.9939,57.5281,257.08,93,35,5.36,RU,1712093392
203,labytnangi,66.6572,66.4183,265.55,85,73,6.31,RU,1712093393
204,iskateley,67.6803,53.1512,253.16,93,5,3.58,RU,1712093393
205,gadzhiyevo,69.2551,33.3362,255.42,98,33,3.84,RU,1712093360
206,palmer,42.1584,-72.3287,281.49,79,100,3.09,US,1712093394
207,franceville,-1.6333,13.5836,296.92,86,99,1.66,GA,1712093394
208,mogadishu,2.0371,45.3438,301.59,75,13,3.24,SO,1712093395
209,east london,-33.0153,27.9116,292.53,68,9,4.13,ZA,1712093395
210,tamanrasset,22.785,5.5228,299.1,9,0,3.09,DZ,1712093396
211,hermanus,-34.4187,19.2345,286.93,81,37,3.99,ZA,1712093396
212,santa cruz,-17.8,-63.1667,300.18,78,40,6.17,BO,1712093397
213,guerrero negro,27.9769,-114.0611,294.13,45,0,4.36,MX,1712093219
214,okha,53.5739,142.9478,265.42,91,94,4.76,RU,1712093397
215,amga,60.8953,131.9608,255.61,100,100,1.22,RU,1712093398
216,nelson bay,-32.7167,152.15,290.93,83,51,3.58,AU,1712093398
